sample_id,time,hostname,offset_ns,jitter_ns
1,2026-09-08 17:08:12,compute-0-1,-4.0,NaN
1,2026-09-08 17:08:13,compute-0-2,3.0,NaN
1,2026-09-08 17:08:13,compute-0-3,-2.0,NaN
2,2026-09-08 17:08:23,compute-0-1,-4.0,0.000
2,2026-09-08 17:08:24,compute-0-2,0.0,3.000
2,2026-09-08 17:08:24,compute-0-3,3.0,5.000
3,2026-09-08 17:08:35,compute-0-1,-4.0,0.000
3,2026-09-08 17:08:35,compute-0-2,-4.0,4.000
3,2026-09-08 17:08:35,compute-0-3,-2.0,5.000
4,2026-09-08 17:08:46,compute-0-1,3.0,7.000
4,2026-09-08 17:08:46,compute-0-2,-1.0,3.000
4,2026-09-08 17:08:46,compute-0-3,-1.0,1.000
5,2026-09-08 17:08:57,compute-0-1,1.0,2.000
5,2026-09-08 17:08:57,compute-0-2,-3.0,2.000
5,2026-09-08 17:08:58,compute-0-3,-2.0,1.000
6,2026-09-08 17:09:08,compute-0-1,-3.0,4.000
6,2026-09-08 17:09:08,compute-0-2,0.0,3.000
6,2026-09-08 17:09:09,compute-0-3,5.0,7.000
7,2026-09-08 17:09:19,compute-0-1,3.0,6.000
7,2026-09-08 17:09:19,compute-0-2,4.0,4.000
7,2026-09-08 17:09:20,compute-0-3,-2.0,7.000
8,2026-09-08 17:09:30,compute-0-1,3.0,0.000
8,2026-09-08 17:09:30,compute-0-2,-1.0,5.000
8,2026-09-08 17:09:31,compute-0-3,-7.0,5.000
9,2026-09-08 17:09:41,compute-0-1,-3.0,6.000
9,2026-09-08 17:09:41,compute-0-2,3.0,4.000
9,2026-09-08 17:09:42,compute-0-3,-1.0,6.000
10,2026-09-08 17:09:52,compute-0-1,4.0,7.000
10,2026-09-08 17:09:53,compute-0-2,5.0,2.000
10,2026-09-08 17:09:53,compute-0-3,7.0,8.000
11,2026-09-08 17:10:03,compute-0-1,1.0,3.000
11,2026-09-08 17:10:04,compute-0-2,4.0,1.000
11,2026-09-08 17:10:04,compute-0-3,0.0,7.000
12,2026-09-08 17:10:14,compute-0-1,0.0,1.000
12,2026-09-08 17:10:15,compute-0-2,2.0,2.000
12,2026-09-08 17:10:15,compute-0-3,-3.0,3.000
13,2026-09-08 17:10:25,compute-0-1,1.0,1.000
13,2026-09-08 17:10:26,compute-0-2,0.0,2.000
13,2026-09-08 17:10:26,compute-0-3,-2.0,1.000
14,2026-09-08 17:10:37,compute-0-1,2.0,1.000
14,2026-09-08 17:10:37,compute-0-2,1.0,1.000
14,2026-09-08 17:10:37,compute-0-3,4.0,6.000
15,2026-09-08 17:10:48,compute-0-1,-2.0,4.000
15,2026-09-08 17:10:48,compute-0-2,2.0,1.000
15,2026-09-08 17:10:49,compute-0-3,7.0,3.000
16,2026-09-08 17:10:59,compute-0-1,-3.0,1.000
16,2026-09-08 17:10:59,compute-0-2,-1.0,3.000
16,2026-09-08 17:11:00,compute-0-3,3.0,4.000
17,2026-09-08 17:11:10,compute-0-1,2.0,5.000
17,2026-09-08 17:11:10,compute-0-2,2.0,3.000
17,2026-09-08 17:11:11,compute-0-3,-6.0,9.000
18,2026-09-08 17:11:21,compute-0-1,0.0,2.000
18,2026-09-08 17:11:21,compute-0-2,-2.0,4.000
18,2026-09-08 17:11:22,compute-0-3,-6.0,0.000
19,2026-09-08 17:11:32,compute-0-1,0.0,0.000
19,2026-09-08 17:11:33,compute-0-2,4.0,6.000
19,2026-09-08 17:11:33,compute-0-3,3.0,9.000
20,2026-09-08 17:11:43,compute-0-1,-3.0,3.000
20,2026-09-08 17:11:44,compute-0-2,-2.0,6.000
20,2026-09-08 17:11:44,compute-0-3,-1.0,4.000
21,2026-09-08 17:11:54,compute-0-1,-5.0,2.000
21,2026-09-08 17:11:55,compute-0-2,-2.0,0.000
21,2026-09-08 17:11:55,compute-0-3,-7.0,6.000
22,2026-09-08 17:12:06,compute-0-1,3.0,8.000
22,2026-09-08 17:12:06,compute-0-2,-3.0,1.000
22,2026-09-08 17:12:06,compute-0-3,-2.0,5.000
23,2026-09-08 17:12:17,compute-0-1,-4.0,7.000
23,2026-09-08 17:12:17,compute-0-2,1.0,4.000
23,2026-09-08 17:12:17,compute-0-3,4.0,6.000
24,2026-09-08 17:12:28,compute-0-1,-3.0,1.000
24,2026-09-08 17:12:28,compute-0-2,0.0,1.000
24,2026-09-08 17:12:29,compute-0-3,-5.0,9.000
25,2026-09-08 17:12:39,compute-0-1,3.0,6.000
25,2026-09-08 17:12:39,compute-0-2,2.0,2.000
25,2026-09-08 17:12:40,compute-0-3,-1.0,4.000
26,2026-09-08 17:12:50,compute-0-1,4.0,1.000
26,2026-09-08 17:12:50,compute-0-2,3.0,1.000
26,2026-09-08 17:12:51,compute-0-3,4.0,5.000
27,2026-09-08 17:13:01,compute-0-1,3.0,1.000
27,2026-09-08 17:13:02,compute-0-2,-2.0,5.000
27,2026-09-08 17:13:02,compute-0-3,3.0,1.000
28,2026-09-08 17:13:12,compute-0-1,-4.0,7.000
28,2026-09-08 17:13:13,compute-0-2,-3.0,1.000
28,2026-09-08 17:13:13,compute-0-3,2.0,1.000
29,2026-09-08 17:13:23,compute-0-1,-6.0,2.000
29,2026-09-08 17:13:24,compute-0-2,3.0,6.000
29,2026-09-08 17:13:24,compute-0-3,-2.0,4.000
30,2026-09-08 17:13:34,compute-0-1,-2.0,4.000
30,2026-09-08 17:13:35,compute-0-2,3.0,0.000
30,2026-09-08 17:13:35,compute-0-3,0.0,2.000
31,2026-09-08 17:13:46,compute-0-1,1.0,3.000
31,2026-09-08 17:13:46,compute-0-2,2.0,1.000
31,2026-09-08 17:13:46,compute-0-3,4.0,4.000
32,2026-09-08 17:13:57,compute-0-1,2.0,1.000
32,2026-09-08 17:13:57,compute-0-2,-2.0,4.000
32,2026-09-08 17:13:58,compute-0-3,0.0,4.000
33,2026-09-08 17:14:08,compute-0-1,0.0,2.000
33,2026-09-08 17:14:08,compute-0-2,1.0,3.000
33,2026-09-08 17:14:09,compute-0-3,-5.0,5.000
34,2026-09-08 17:14:19,compute-0-1,0.0,0.000
34,2026-09-08 17:14:19,compute-0-2,1.0,0.000
34,2026-09-08 17:14:20,compute-0-3,6.0,11.000
35,2026-09-08 17:14:30,compute-0-1,-6.0,6.000
35,2026-09-08 17:14:30,compute-0-2,1.0,0.000
35,2026-09-08 17:14:31,compute-0-3,1.0,5.000
36,2026-09-08 17:14:41,compute-0-1,4.0,10.000
36,2026-09-08 17:14:42,compute-0-2,2.0,1.000
36,2026-09-08 17:14:42,compute-0-3,0.0,1.000
37,2026-09-08 17:14:52,compute-0-1,1.0,3.000
37,2026-09-08 17:14:53,compute-0-2,-4.0,6.000
37,2026-09-08 17:14:53,compute-0-3,2.0,2.000
38,2026-09-08 17:15:04,compute-0-1,1.0,0.000
38,2026-09-08 17:15:04,compute-0-2,2.0,6.000
38,2026-09-08 17:15:04,compute-0-3,4.0,2.000
39,2026-09-08 17:15:15,compute-0-1,-4.0,5.000
39,2026-09-08 17:15:15,compute-0-2,-4.0,6.000
39,2026-09-08 17:15:16,compute-0-3,-5.0,9.000
40,2026-09-08 17:15:26,compute-0-1,-1.0,3.000
40,2026-09-08 17:15:26,compute-0-2,1.0,5.000
40,2026-09-08 17:15:27,compute-0-3,0.0,5.000
41,2026-09-08 17:15:37,compute-0-1,3.0,4.000
41,2026-09-08 17:15:38,compute-0-2,0.0,1.000
41,2026-09-08 17:15:38,compute-0-3,1.0,1.000
42,2026-09-08 17:15:49,compute-0-1,4.0,1.000
42,2026-09-08 17:15:49,compute-0-2,-3.0,3.000
42,2026-09-08 17:15:49,compute-0-3,1.0,0.000
43,2026-09-08 17:16:00,compute-0-1,-1.0,5.000
43,2026-09-08 17:16:00,compute-0-2,5.0,8.000
43,2026-09-08 17:16:00,compute-0-3,-2.0,3.000
44,2026-09-08 17:16:11,compute-0-1,1.0,2.000
44,2026-09-08 17:16:11,compute-0-2,3.0,2.000
44,2026-09-08 17:16:12,compute-0-3,-4.0,2.000
45,2026-09-08 17:16:22,compute-0-1,1.0,0.000
45,2026-09-08 17:16:22,compute-0-2,2.0,1.000
45,2026-09-08 17:16:23,compute-0-3,-5.0,1.000
46,2026-09-08 17:16:33,compute-0-1,-1.0,2.000
46,2026-09-08 17:16:33,compute-0-2,3.0,1.000
46,2026-09-08 17:16:34,compute-0-3,-1.0,4.000
47,2026-09-08 17:16:44,compute-0-1,-1.0,0.000
47,2026-09-08 17:16:44,compute-0-2,-2.0,5.000
47,2026-09-08 17:16:45,compute-0-3,9.0,10.000
48,2026-09-08 17:16:55,compute-0-1,-3.0,2.000
48,2026-09-08 17:16:55,compute-0-2,2.0,4.000
48,2026-09-08 17:16:56,compute-0-3,0.0,9.000
49,2026-09-08 17:17:06,compute-0-1,-4.0,1.000
49,2026-09-08 17:17:07,compute-0-2,2.0,0.000
49,2026-09-08 17:17:07,compute-0-3,-1.0,1.000
50,2026-09-08 17:17:17,compute-0-1,-2.0,2.000
50,2026-09-08 17:17:18,compute-0-2,-5.0,7.000
50,2026-09-08 17:17:18,compute-0-3,-4.0,3.000
51,2026-09-08 17:17:29,compute-0-1,0.0,2.000
