sample_id,time,hostname,offset_ns,jitter_ns
1,2026-09-10 13:27:18,compute-0-1,-2387.0,NaN
1,2026-09-10 13:27:18,compute-0-2,-2219.0,NaN
1,2026-09-10 13:27:19,compute-0-3,817.0,NaN
2,2026-09-10 13:27:29,compute-0-1,870.0,3257.000
2,2026-09-10 13:27:30,compute-0-2,3953.0,6172.000
2,2026-09-10 13:27:30,compute-0-3,-5565.0,6382.000
3,2026-09-10 13:27:40,compute-0-1,-3514.0,4384.000
3,2026-09-10 13:27:41,compute-0-2,-2392.0,6345.000
3,2026-09-10 13:27:41,compute-0-3,-3385.0,2180.000
4,2026-09-10 13:27:51,compute-0-1,-3360.0,154.000
4,2026-09-10 13:27:52,compute-0-2,-634.0,1758.000
4,2026-09-10 13:27:52,compute-0-3,-3361.0,24.000
5,2026-09-10 13:28:02,compute-0-1,-1113.0,2247.000
5,2026-09-10 13:28:03,compute-0-2,1628.0,2262.000
5,2026-09-10 13:28:03,compute-0-3,-2415.0,946.000
6,2026-09-10 13:28:13,compute-0-1,-1760.0,647.000
6,2026-09-10 13:28:14,compute-0-2,-2220.0,3848.000
6,2026-09-10 13:28:14,compute-0-3,5386.0,7801.000
7,2026-09-10 13:28:25,compute-0-1,-872.0,888.000
7,2026-09-10 13:28:25,compute-0-2,728.0,2948.000
7,2026-09-10 13:28:25,compute-0-3,-2640.0,8026.000
8,2026-09-10 13:28:36,compute-0-1,641.0,1513.000
8,2026-09-10 13:28:36,compute-0-2,773.0,45.000
8,2026-09-10 13:28:36,compute-0-3,-3522.0,882.000
9,2026-09-10 13:28:47,compute-0-1,-4960.0,5601.000
9,2026-09-10 13:28:47,compute-0-2,-2865.0,3638.000
9,2026-09-10 13:28:48,compute-0-3,19777.0,23299.000
10,2026-09-10 13:28:58,compute-0-1,-2434.0,2526.000
10,2026-09-10 13:28:58,compute-0-2,191.0,3056.000
10,2026-09-10 13:28:59,compute-0-3,5789.0,13988.000
11,2026-09-10 13:29:09,compute-0-1,-1376.0,1058.000
11,2026-09-10 13:29:09,compute-0-2,15915.0,15724.000
11,2026-09-10 13:29:10,compute-0-3,1966.0,3823.000
12,2026-09-10 13:29:20,compute-0-1,-2037.0,661.000
12,2026-09-10 13:29:21,compute-0-2,6255.0,9660.000
12,2026-09-10 13:29:21,compute-0-3,380.0,1586.000
13,2026-09-10 13:29:31,compute-0-1,15644.0,17681.000
13,2026-09-10 13:29:32,compute-0-2,3034.0,3221.000
13,2026-09-10 13:29:32,compute-0-3,-221.0,601.000
14,2026-09-10 13:29:42,compute-0-1,23728.0,8084.000
14,2026-09-10 13:29:43,compute-0-2,-721.0,3755.000
14,2026-09-10 13:29:43,compute-0-3,2463.0,2684.000
15,2026-09-10 13:29:53,compute-0-1,5835.0,17893.000
15,2026-09-10 13:29:54,compute-0-2,6712.0,7433.000
15,2026-09-10 13:29:54,compute-0-3,367.0,2096.000
16,2026-09-10 13:30:04,compute-0-1,-869.0,6704.000
16,2026-09-10 13:30:05,compute-0-2,1807.0,4905.000
16,2026-09-10 13:30:05,compute-0-3,39.0,328.000
17,2026-09-10 13:30:16,compute-0-1,2371.0,3240.000
17,2026-09-10 13:30:16,compute-0-2,2050.0,243.000
17,2026-09-10 13:30:16,compute-0-3,9796.0,9757.000
18,2026-09-10 13:30:27,compute-0-1,5648.0,3277.000
18,2026-09-10 13:30:27,compute-0-2,4595.0,2545.000
18,2026-09-10 13:30:27,compute-0-3,1838.0,7958.000
19,2026-09-10 13:30:38,compute-0-1,3859.0,1789.000
19,2026-09-10 13:30:38,compute-0-2,-151.0,4746.000
19,2026-09-10 13:30:38,compute-0-3,3576.0,1738.000
20,2026-09-10 13:30:49,compute-0-1,3515.0,344.000
20,2026-09-10 13:30:49,compute-0-2,1905.0,2056.000
20,2026-09-10 13:30:50,compute-0-3,2029.0,1547.000
21,2026-09-10 13:31:00,compute-0-1,-493.0,4008.000
21,2026-09-10 13:31:00,compute-0-2,207.0,1698.000
21,2026-09-10 13:31:01,compute-0-3,-2825.0,4854.000
22,2026-09-10 13:31:11,compute-0-1,-1189.0,696.000
22,2026-09-10 13:31:12,compute-0-2,430.0,223.000
22,2026-09-10 13:31:12,compute-0-3,3139.0,5964.000
23,2026-09-10 13:31:22,compute-0-1,-2290.0,1101.000
23,2026-09-10 13:31:23,compute-0-2,8488.0,8058.000
23,2026-09-10 13:31:23,compute-0-3,-5177.0,8316.000
24,2026-09-10 13:31:33,compute-0-1,3278.0,5568.000
24,2026-09-10 13:31:34,compute-0-2,1055.0,7433.000
24,2026-09-10 13:31:34,compute-0-3,-5727.0,550.000
25,2026-09-10 13:31:44,compute-0-1,503.0,2775.000
25,2026-09-10 13:31:45,compute-0-2,338.0,717.000
25,2026-09-10 13:31:45,compute-0-3,9294.0,15021.000
26,2026-09-10 13:31:56,compute-0-1,276.0,227.000
26,2026-09-10 13:31:56,compute-0-2,-2177.0,2515.000
26,2026-09-10 13:31:56,compute-0-3,3711.0,5583.000
27,2026-09-10 13:32:07,compute-0-1,5785.0,5509.000
27,2026-09-10 13:32:07,compute-0-2,-54.0,2123.000
27,2026-09-10 13:32:07,compute-0-3,2414.0,1297.000
28,2026-09-10 13:32:18,compute-0-1,3895.0,1890.000
28,2026-09-10 13:32:18,compute-0-2,2166.0,2220.000
28,2026-09-10 13:32:18,compute-0-3,-325.0,2739.000
29,2026-09-10 13:32:29,compute-0-1,1873.0,2022.000
29,2026-09-10 13:32:29,compute-0-2,-3633.0,5799.000
29,2026-09-10 13:32:30,compute-0-3,-734.0,409.000
30,2026-09-10 13:32:40,compute-0-1,7016.0,5143.000
30,2026-09-10 13:32:40,compute-0-2,660.0,4293.000
30,2026-09-10 13:32:41,compute-0-3,3057.0,3791.000
31,2026-09-10 13:32:51,compute-0-1,657.0,6359.000
31,2026-09-10 13:32:51,compute-0-2,-2109.0,2769.000
31,2026-09-10 13:32:52,compute-0-3,479.0,2578.000
32,2026-09-10 13:33:02,compute-0-1,3801.0,3144.000
32,2026-09-10 13:33:02,compute-0-2,4672.0,6781.000
32,2026-09-10 13:33:03,compute-0-3,2339.0,1860.000
33,2026-09-10 13:33:13,compute-0-1,4778.0,977.000
33,2026-09-10 13:33:14,compute-0-2,2828.0,1844.000
33,2026-09-10 13:33:14,compute-0-3,-694.0,3033.000
34,2026-09-10 13:33:24,compute-0-1,2129.0,2649.000
34,2026-09-10 13:33:25,compute-0-2,3828.0,1000.000
34,2026-09-10 13:33:25,compute-0-3,-1027.0,333.000
35,2026-09-10 13:33:35,compute-0-1,31.0,2098.000
35,2026-09-10 13:33:36,compute-0-2,-2208.0,6036.000
35,2026-09-10 13:33:36,compute-0-3,-2886.0,1859.000
36,2026-09-10 13:33:46,compute-0-1,-102.0,133.000
36,2026-09-10 13:33:47,compute-0-2,-1740.0,468.000
36,2026-09-10 13:33:47,compute-0-3,-1169.0,1717.000
37,2026-09-10 13:33:58,compute-0-1,-2687.0,2585.000
37,2026-09-10 13:33:58,compute-0-2,2057.0,3797.000
37,2026-09-10 13:33:58,compute-0-3,942.0,2111.000
38,2026-09-10 13:34:09,compute-0-1,-1479.0,1208.000
38,2026-09-10 13:34:09,compute-0-2,-2112.0,4169.000
38,2026-09-10 13:34:09,compute-0-3,1169.0,227.000
39,2026-09-10 13:34:20,compute-0-1,3946.0,5425.000
39,2026-09-10 13:34:20,compute-0-2,1555.0,3667.000
39,2026-09-10 13:34:20,compute-0-3,-240.0,1409.000
40,2026-09-10 13:34:31,compute-0-1,2406.0,1540.000
40,2026-09-10 13:34:31,compute-0-2,-7079.0,8634.000
40,2026-09-10 13:34:31,compute-0-3,419.0,659.000
41,2026-09-10 13:34:42,compute-0-1,4072.0,1666.000
41,2026-09-10 13:34:42,compute-0-2,-3855.0,3224.000
41,2026-09-10 13:34:43,compute-0-3,832.0,413.000
42,2026-09-10 13:34:53,compute-0-1,1751.0,2321.000
42,2026-09-10 13:34:53,compute-0-2,-413.0,3442.000
42,2026-09-10 13:34:54,compute-0-3,-8427.0,9259.000
43,2026-09-10 13:35:04,compute-0-1,6714.0,4963.000
43,2026-09-10 13:35:04,compute-0-2,1754.0,2167.000
43,2026-09-10 13:35:05,compute-0-3,-5509.0,2918.000
44,2026-09-10 13:35:15,compute-0-1,2555.0,4159.000
44,2026-09-10 13:35:15,compute-0-2,-1277.0,3031.000
44,2026-09-10 13:35:16,compute-0-3,-3406.0,2103.000
45,2026-09-10 13:35:26,compute-0-1,-2657.0,5212.000
45,2026-09-10 13:35:27,compute-0-2,-2093.0,816.000
45,2026-09-10 13:35:27,compute-0-3,-7465.0,4059.000
46,2026-09-10 13:35:37,compute-0-1,-1727.0,930.000
46,2026-09-10 13:35:38,compute-0-2,-6366.0,4273.000
46,2026-09-10 13:35:38,compute-0-3,713.0,8178.000
47,2026-09-10 13:35:49,compute-0-1,-2633.0,906.000
47,2026-09-10 13:35:49,compute-0-2,-6130.0,236.000
47,2026-09-10 13:35:49,compute-0-3,-7302.0,8015.000
48,2026-09-10 13:36:00,compute-0-1,1912.0,4545.000
48,2026-09-10 13:36:00,compute-0-2,-3711.0,2419.000
48,2026-09-10 13:36:00,compute-0-3,-1054.0,6248.000
49,2026-09-10 13:36:11,compute-0-1,28.0,1884.000
49,2026-09-10 13:36:11,compute-0-2,-7388.0,3677.000
49,2026-09-10 13:36:11,compute-0-3,-4361.0,3307.000
50,2026-09-10 13:36:22,compute-0-1,-1651.0,1679.000
50,2026-09-10 13:36:22,compute-0-2,-8482.0,1094.000
50,2026-09-10 13:36:23,compute-0-3,-3744.0,617.000
51,2026-09-10 13:36:33,compute-0-1,-3306.0,1655.000
51,2026-09-10 13:36:33,compute-0-2,-10801.0,2319.000
51,2026-09-10 13:36:34,compute-0-3,-5543.0,1799.000
52,2026-09-10 13:36:44,compute-0-1,-7257.0,3951.000
52,2026-09-10 13:36:44,compute-0-2,-6566.0,4235.000
52,2026-09-10 13:36:45,compute-0-3,-12064.0,6521.000
53,2026-09-10 13:36:55,compute-0-1,-6418.0,839.000
53,2026-09-10 13:36:55,compute-0-2,-9055.0,2489.000
53,2026-09-10 13:36:56,compute-0-3,-13981.0,1917.000
54,2026-09-10 13:37:06,compute-0-1,-6266.0,152.000
54,2026-09-10 13:37:07,compute-0-2,-8907.0,148.000
54,2026-09-10 13:37:07,compute-0-3,78835.0,92816.000
55,2026-09-10 13:37:17,compute-0-1,-8773.0,2507.000
55,2026-09-10 13:37:18,compute-0-2,53067.0,61974.000
55,2026-09-10 13:37:18,compute-0-3,39287.0,39548.000
56,2026-09-10 13:37:28,compute-0-1,-10175.0,1402.000
56,2026-09-10 13:37:29,compute-0-2,18828.0,34239.000
56,2026-09-10 13:37:29,compute-0-3,5487.0,33800.000
57,2026-09-10 13:37:39,compute-0-1,-12560.0,2385.000
57,2026-09-10 13:37:40,compute-0-2,4864.0,13964.000
57,2026-09-10 13:37:40,compute-0-3,-7463.0,12950.000
58,2026-09-10 13:37:50,compute-0-1,-10430.0,2130.000
58,2026-09-10 13:37:51,compute-0-2,-3652.0,8516.000
58,2026-09-10 13:37:51,compute-0-3,4347.0,11810.000
59,2026-09-10 13:38:02,compute-0-1,-15873.0,5443.000
59,2026-09-10 13:38:02,compute-0-2,388.0,4040.000
59,2026-09-10 13:38:02,compute-0-3,3624.0,723.000
60,2026-09-10 13:38:13,compute-0-1,-13858.0,2015.000
60,2026-09-10 13:38:13,compute-0-2,-7469.0,7857.000
60,2026-09-10 13:38:13,compute-0-3,7490.0,3866.000
61,2026-09-10 13:38:24,compute-0-1,142493.0,156351.000
61,2026-09-10 13:38:24,compute-0-2,-6513.0,956.000
61,2026-09-10 13:38:24,compute-0-3,2798.0,4692.000
62,2026-09-10 13:38:35,compute-0-1,149703.0,7210.000
62,2026-09-10 13:38:35,compute-0-2,-5150.0,1363.000
62,2026-09-10 13:38:36,compute-0-3,5028.0,2230.000
63,2026-09-10 13:38:46,compute-0-1,50342.0,99361.000
63,2026-09-10 13:38:46,compute-0-2,-2358.0,2792.000
63,2026-09-10 13:38:47,compute-0-3,-2492.0,7520.000
64,2026-09-10 13:38:57,compute-0-1,18372.0,31970.000
64,2026-09-10 13:38:57,compute-0-2,-5352.0,2994.000
64,2026-09-10 13:38:58,compute-0-3,589.0,3081.000
65,2026-09-10 13:39:08,compute-0-1,9387.0,8985.000
65,2026-09-10 13:39:08,compute-0-2,-3526.0,1826.000
65,2026-09-10 13:39:09,compute-0-3,1007.0,418.000
66,2026-09-10 13:39:19,compute-0-1,9026.0,361.000
66,2026-09-10 13:39:20,compute-0-2,3470.0,6996.000
66,2026-09-10 13:39:20,compute-0-3,-1446.0,2453.000
67,2026-09-10 13:39:30,compute-0-1,3423.0,5603.000
67,2026-09-10 13:39:31,compute-0-2,-270.0,3740.000
67,2026-09-10 13:39:31,compute-0-3,-1301.0,145.000
68,2026-09-10 13:39:41,compute-0-1,4387.0,964.000
68,2026-09-10 13:39:42,compute-0-2,-6322.0,6052.000
68,2026-09-10 13:39:42,compute-0-3,1980.0,3281.000
69,2026-09-10 13:39:52,compute-0-1,3132.0,1255.000
69,2026-09-10 13:39:53,compute-0-2,-1495.0,4827.000
69,2026-09-10 13:39:53,compute-0-3,-1426.0,3406.000
70,2026-09-10 13:40:04,compute-0-1,-594.0,3726.000
70,2026-09-10 13:40:04,compute-0-2,-4634.0,3139.000
70,2026-09-10 13:40:04,compute-0-3,8197.0,9623.000
71,2026-09-10 13:40:15,compute-0-1,14680.0,15274.000
71,2026-09-10 13:40:15,compute-0-2,-8363.0,3729.000
71,2026-09-10 13:40:16,compute-0-3,3704.0,4493.000
72,2026-09-10 13:40:26,compute-0-1,11997.0,2683.000
72,2026-09-10 13:40:26,compute-0-2,-6723.0,1640.000
