sample_id,time,hostname,offset_ns,jitter_ns
1,2026-09-04 18:24:10,compute-0-1,81.0,NaN
1,2026-09-04 18:24:10,compute-0-2,70.0,NaN
1,2026-09-04 18:24:10,compute-0-3,28.0,NaN
2,2026-09-04 18:24:21,compute-0-1,73.0,8.000
2,2026-09-04 18:24:21,compute-0-2,49.0,21.000
2,2026-09-04 18:24:21,compute-0-3,76.0,48.000
3,2026-09-04 18:24:32,compute-0-1,-97.0,170.000
3,2026-09-04 18:24:32,compute-0-2,87.0,38.000
3,2026-09-04 18:24:33,compute-0-3,58.0,18.000
4,2026-09-04 18:24:43,compute-0-1,-28.0,69.000
4,2026-09-04 18:24:43,compute-0-2,-48.0,135.000
4,2026-09-04 18:24:44,compute-0-3,-100.0,158.000
5,2026-09-04 18:24:54,compute-0-1,-12.0,16.000
5,2026-09-04 18:24:54,compute-0-2,-42.0,6.000
5,2026-09-04 18:24:55,compute-0-3,-37.0,63.000
6,2026-09-04 18:25:05,compute-0-1,46.0,58.000
6,2026-09-04 18:25:05,compute-0-2,-2.0,40.000
6,2026-09-04 18:25:06,compute-0-3,13.0,50.000
7,2026-09-04 18:25:16,compute-0-1,-39.0,85.000
7,2026-09-04 18:25:17,compute-0-2,-78.0,76.000
7,2026-09-04 18:25:17,compute-0-3,-82.0,95.000
8,2026-09-04 18:25:28,compute-0-1,-18.0,21.000
8,2026-09-04 18:25:28,compute-0-2,-27.0,51.000
8,2026-09-04 18:25:28,compute-0-3,-69.0,13.000
9,2026-09-04 18:25:39,compute-0-1,6.0,24.000
9,2026-09-04 18:25:39,compute-0-2,-30.0,3.000
9,2026-09-04 18:25:39,compute-0-3,-2.0,67.000
10,2026-09-04 18:25:50,compute-0-1,36.0,30.000
10,2026-09-04 18:25:50,compute-0-2,7.0,37.000
10,2026-09-04 18:25:51,compute-0-3,-5.0,3.000
11,2026-09-04 18:26:01,compute-0-1,49.0,13.000
11,2026-09-04 18:26:02,compute-0-2,52.0,45.000
11,2026-09-04 18:26:02,compute-0-3,22.0,27.000
12,2026-09-04 18:26:12,compute-0-1,84.0,35.000
12,2026-09-04 18:26:13,compute-0-2,57.0,5.000
12,2026-09-04 18:26:13,compute-0-3,67.0,45.000
13,2026-09-04 18:26:23,compute-0-1,-48.0,132.000
13,2026-09-04 18:26:24,compute-0-2,-47.0,104.000
13,2026-09-04 18:26:24,compute-0-3,80.0,13.000
14,2026-09-04 18:26:34,compute-0-1,-5.0,43.000
14,2026-09-04 18:26:35,compute-0-2,-38.0,9.000
14,2026-09-04 18:26:35,compute-0-3,-33.0,113.000
15,2026-09-04 18:26:45,compute-0-1,46.0,51.000
15,2026-09-04 18:26:46,compute-0-2,25.0,63.000
15,2026-09-04 18:26:46,compute-0-3,6.0,39.000
16,2026-09-04 18:26:57,compute-0-1,-90.0,136.000
16,2026-09-04 18:26:57,compute-0-2,45.0,20.000
16,2026-09-04 18:26:57,compute-0-3,38.0,32.000
17,2026-09-04 18:27:08,compute-0-1,-31.0,59.000
17,2026-09-04 18:27:08,compute-0-2,-57.0,102.000
17,2026-09-04 18:27:08,compute-0-3,-64.0,102.000
18,2026-09-04 18:27:19,compute-0-1,71.0,102.000
18,2026-09-04 18:27:19,compute-0-2,28.0,85.000
18,2026-09-04 18:27:19,compute-0-3,-6.0,58.000
19,2026-09-04 18:27:30,compute-0-1,-70.0,141.000
19,2026-09-04 18:27:30,compute-0-2,-97.0,125.000
19,2026-09-04 18:27:31,compute-0-3,68.0,74.000
20,2026-09-04 18:27:41,compute-0-1,-14.0,56.000
20,2026-09-04 18:27:41,compute-0-2,-54.0,43.000
20,2026-09-04 18:27:42,compute-0-3,-28.0,96.000
21,2026-09-04 18:27:52,compute-0-1,78.0,92.000
21,2026-09-04 18:27:52,compute-0-2,66.0,120.000
21,2026-09-04 18:27:53,compute-0-3,43.0,71.000
22,2026-09-04 18:28:03,compute-0-1,-39.0,117.000
22,2026-09-04 18:28:03,compute-0-2,-58.0,124.000
22,2026-09-04 18:28:04,compute-0-3,-70.0,113.000
23,2026-09-04 18:28:14,compute-0-1,51.0,90.000
23,2026-09-04 18:28:15,compute-0-2,5.0,63.000
23,2026-09-04 18:28:15,compute-0-3,12.0,82.000
24,2026-09-04 18:28:25,compute-0-1,-67.0,118.000
24,2026-09-04 18:28:26,compute-0-2,-90.0,95.000
24,2026-09-04 18:28:26,compute-0-3,-114.0,126.000
25,2026-09-04 18:28:36,compute-0-1,35.0,102.000
25,2026-09-04 18:28:37,compute-0-2,22.0,112.000
25,2026-09-04 18:28:37,compute-0-3,-6.0,108.000
26,2026-09-04 18:28:47,compute-0-1,-33.0,68.000
26,2026-09-04 18:28:48,compute-0-2,-50.0,72.000
26,2026-09-04 18:28:48,compute-0-3,94.0,100.000
27,2026-09-04 18:28:59,compute-0-1,30.0,63.000
27,2026-09-04 18:28:59,compute-0-2,34.0,84.000
27,2026-09-04 18:28:59,compute-0-3,26.0,68.000
28,2026-09-04 18:29:10,compute-0-1,-28.0,58.000
28,2026-09-04 18:29:10,compute-0-2,-41.0,75.000
28,2026-09-04 18:29:10,compute-0-3,-50.0,76.000
29,2026-09-04 18:29:21,compute-0-1,54.0,82.000
29,2026-09-04 18:29:21,compute-0-2,38.0,79.000
29,2026-09-04 18:29:21,compute-0-3,45.0,95.000
30,2026-09-04 18:29:32,compute-0-1,-6.0,60.000
30,2026-09-04 18:29:32,compute-0-2,-9.0,47.000
30,2026-09-04 18:29:33,compute-0-3,-17.0,62.000
31,2026-09-04 18:29:43,compute-0-1,14.0,20.000
31,2026-09-04 18:29:43,compute-0-2,5.0,14.000
31,2026-09-04 18:29:44,compute-0-3,9.0,26.000
32,2026-09-04 18:29:54,compute-0-1,17.0,3.000
32,2026-09-04 18:29:54,compute-0-2,-42.0,47.000
32,2026-09-04 18:29:55,compute-0-3,61.0,52.000
33,2026-09-04 18:30:05,compute-0-1,67.0,50.000
33,2026-09-04 18:30:06,compute-0-2,37.0,79.000
33,2026-09-04 18:30:06,compute-0-3,42.0,19.000
34,2026-09-04 18:30:16,compute-0-1,52.0,15.000
34,2026-09-04 18:30:17,compute-0-2,-27.0,64.000
34,2026-09-04 18:30:17,compute-0-3,-7.0,49.000
35,2026-09-04 18:30:27,compute-0-1,-34.0,86.000
35,2026-09-04 18:30:28,compute-0-2,-106.0,79.000
35,2026-09-04 18:30:28,compute-0-3,62.0,69.000
36,2026-09-04 18:30:38,compute-0-1,58.0,92.000
36,2026-09-04 18:30:39,compute-0-2,33.0,139.000
36,2026-09-04 18:30:39,compute-0-3,26.0,36.000
37,2026-09-04 18:30:50,compute-0-1,-86.0,144.000
37,2026-09-04 18:30:50,compute-0-2,94.0,61.000
37,2026-09-04 18:30:50,compute-0-3,66.0,40.000
38,2026-09-04 18:31:01,compute-0-1,14.0,100.000
38,2026-09-04 18:31:01,compute-0-2,29.0,65.000
38,2026-09-04 18:31:02,compute-0-3,-23.0,89.000
39,2026-09-04 18:31:12,compute-0-1,-16.0,30.000
39,2026-09-04 18:31:12,compute-0-2,-70.0,99.000
39,2026-09-04 18:31:13,compute-0-3,68.0,91.000
40,2026-09-04 18:31:23,compute-0-1,45.0,61.000
40,2026-09-04 18:31:23,compute-0-2,27.0,97.000
40,2026-09-04 18:31:24,compute-0-3,10.0,58.000
41,2026-09-04 18:31:34,compute-0-1,16.0,29.000
41,2026-09-04 18:31:34,compute-0-2,-22.0,49.000
41,2026-09-04 18:31:35,compute-0-3,-48.0,58.000
42,2026-09-04 18:31:45,compute-0-1,68.0,52.000
42,2026-09-04 18:31:46,compute-0-2,50.0,72.000
42,2026-09-04 18:31:46,compute-0-3,38.0,86.000
