sample_id,hostname,instant_offset_sec,last_offset_sec,jitter_sec
1,compute-0-0,0.000000005,+0.000000001,0.000000369
1,compute-0-1,0.000000020,-0.000000021,0.000000632
1,compute-0-2,0.000000049,+0.000000045,0.000000331
1,compute-0-3,0.000000017,+0.000000038,0.000001459
2,compute-0-0,0.000000041,-0.000000051,0.000000350
2,compute-0-1,0.000000016,-0.000000021,0.000000632
2,compute-0-2,0.000000029,+0.000000045,0.000000331
2,compute-0-3,0.000000011,-0.000000004,0.000001384
3,compute-0-0,0.000000021,-0.000000051,0.000000350
3,compute-0-1,0.000000001,-0.000000509,0.000000621
3,compute-0-2,0.000000042,+0.000000033,0.000000314
3,compute-0-3,0.000000006,-0.000000015,0.000001313
4,compute-0-0,0.000000023,-0.000000013,0.000000332
4,compute-0-1,0.000000043,+0.000000044,0.000000589
4,compute-0-2,0.000000091,+0.000000237,0.000000307
4,compute-0-3,0.000000044,-0.000000039,0.000001245
5,compute-0-0,0.000000008,+0.000000009,0.000000315
5,compute-0-1,0.000000038,+0.000000044,0.000000589
5,compute-0-2,0.000000000,+0.000000237,0.000000307
5,compute-0-3,0.000000032,-0.000000039,0.000001245
6,compute-0-0,0.000000008,+0.000000009,0.000000315
6,compute-0-1,0.000000079,-0.000000128,0.000000561
6,compute-0-2,0.000000006,+0.000000302,0.000000307
6,compute-0-3,0.000000053,-0.000000043,0.000001182
7,compute-0-0,0.000000011,-0.000000005,0.000000299
7,compute-0-1,0.000000192,+0.000000289,0.000000540
7,compute-0-2,0.000000133,-0.000000255,0.000000302
7,compute-0-3,0.000000010,+0.000000036,0.000001121
8,compute-0-0,0.000000018,-0.000000008,0.000000284
8,compute-0-1,0.000000118,+0.000000289,0.000000540
8,compute-0-2,0.000000000,-0.000000255,0.000000302
8,compute-0-3,0.000000009,+0.000000036,0.000001121
9,compute-0-0,0.000000015,-0.000000008,0.000000284
9,compute-0-1,0.000000001,+0.000000851,0.000000578
9,compute-0-2,0.000000111,+0.000000382,0.000000311
9,compute-0-3,0.000000021,-0.000000032,0.000001064
10,compute-0-0,0.000000016,-0.000000004,0.000000269
10,compute-0-1,0.000000097,+0.000000110,0.000000550
10,compute-0-2,0.000000178,+0.000000213,0.000000303
10,compute-0-3,0.000000008,+0.000000026,0.000001009
11,compute-0-0,0.000000025,-0.000000014,0.000000256
11,compute-0-1,0.000000069,+0.000000110,0.000000550
11,compute-0-2,0.000000261,+0.000000158,0.000000292
11,compute-0-3,0.000000008,+0.000000026,0.000001009
12,compute-0-0,0.000000019,-0.000000014,0.000000256
12,compute-0-1,0.000000001,+0.000000469,0.000000542
12,compute-0-2,0.000000068,+0.000000158,0.000000292
12,compute-0-3,0.000000004,-0.000000011,0.000000957
13,compute-0-0,0.000000021,-0.000000008,0.000000242
13,compute-0-1,0.000000073,-0.000000082,0.000000515
13,compute-0-2,0.000000052,+0.000000057,0.000000277
13,compute-0-3,0.000000017,-0.000000014,0.000000908
14,compute-0-0,0.000000039,-0.000000030,0.000000230
14,compute-0-1,0.000000094,+0.000000150,0.000000491
14,compute-0-2,0.000000006,-0.000000050,0.000000263
14,compute-0-3,0.000000015,-0.000000014,0.000000908
15,compute-0-0,0.000000030,-0.000000009,0.000000218
15,compute-0-1,0.000000078,+0.000000150,0.000000491
15,compute-0-2,0.000000006,-0.000000050,0.000000263
15,compute-0-3,0.000000001,+0.000000013,0.000000862
16,compute-0-0,0.000000023,-0.000000009,0.000000218
16,compute-0-1,0.000000198,-0.000000340,0.000000478
16,compute-0-2,0.000000001,-0.000000620,0.000000318
16,compute-0-3,0.000000012,+0.000000014,0.000000817
17,compute-0-0,0.000000029,-0.000000014,0.000000207
17,compute-0-1,0.000000118,-0.000000031,0.000000454
17,compute-0-2,0.000000150,-0.000000189,0.000000307
17,compute-0-3,0.000000010,+0.000000014,0.000000817
18,compute-0-0,0.000000056,-0.000000037,0.000000197
18,compute-0-1,0.000000090,-0.000000031,0.000000454
18,compute-0-2,0.000000000,-0.000000189,0.000000307
18,compute-0-3,0.000000006,-0.000000016,0.000000775
19,compute-0-0,0.000000031,-0.000000037,0.000000197
19,compute-0-1,0.000000099,-0.000000038,0.000000430
19,compute-0-2,0.000000001,+0.000000586,0.000000345
19,compute-0-3,0.000000064,+0.000000089,0.000000736
20,compute-0-0,0.000000049,-0.000000049,0.000000187
20,compute-0-1,0.000000210,-0.000000157,0.000000411
20,compute-0-2,0.000000117,+0.000000133,0.000000330
20,compute-0-3,0.000000001,+0.000000089,0.000000736
21,compute-0-0,0.000000065,-0.000000049,0.000000179
21,compute-0-1,0.000000092,-0.000000157,0.000000411
21,compute-0-2,0.000000047,+0.000000133,0.000000330
21,compute-0-3,0.000000007,-0.000000007,0.000000698
22,compute-0-0,0.000000033,-0.000000049,0.000000179
