sample_id,hostname,instant_offset_sec,last_offset_sec,jitter_sec
1,compute-0-0,0.000646970,-0.000642223,0.001888102
1,compute-0-1,0.000676206,-0.000737541,0.001376921
1,compute-0-2,0.000249722,-0.000384496,0.001020063
1,compute-0-3,0.000000675,-0.000671274,0.000671274
2,compute-0-0,0.000620380,-0.000642223,0.001888102
2,compute-0-1,0.000142681,-0.000737541,0.001376921
2,compute-0-2,0.000204828,-0.000384496,0.001020063
2,compute-0-3,0.000000673,-0.000671274,0.000671274
3,compute-0-0,0.000594635,-0.000642223,0.001888102
3,compute-0-1,0.000000142,-0.000737541,0.001376921
3,compute-0-2,0.000160199,-0.000384496,0.001020063
3,compute-0-3,0.000000672,-0.000671274,0.000671274
4,compute-0-0,0.000618507,-0.000045513,0.001791269
4,compute-0-1,0.000000142,-0.000737541,0.001376921
4,compute-0-2,0.000728934,-0.000729489,0.000994833
4,compute-0-3,0.000000671,-0.000671274,0.000671274
5,compute-0-0,0.000601920,-0.000045513,0.001791269
5,compute-0-1,0.000000142,-0.000737541,0.001376921
5,compute-0-2,0.000414362,-0.000729489,0.000994833
5,compute-0-3,0.000000670,-0.000671274,0.000671274
6,compute-0-0,0.000582967,-0.000045513,0.001791269
6,compute-0-1,0.000000142,-0.000737541,0.001376921
6,compute-0-2,0.000138705,-0.000729489,0.000994833
6,compute-0-3,0.000104671,+0.000110156,0.000637779
7,compute-0-0,0.000566373,-0.000045513,0.001791269
7,compute-0-1,0.000243429,-0.000271874,0.001309088
7,compute-0-2,0.000000138,-0.000729489,0.000994833
7,compute-0-3,0.000091522,+0.000110156,0.000637779
8,compute-0-0,0.000549579,-0.000045513,0.001791269
8,compute-0-1,0.000199769,-0.000271874,0.001309088
8,compute-0-2,0.000000138,-0.000729489,0.000994833
8,compute-0-3,0.000075075,+0.000110156,0.000637779
9,compute-0-0,0.000219792,+0.000314179,0.001702249
9,compute-0-1,0.000163969,-0.000271874,0.001309088
9,compute-0-2,0.000010114,-0.000010263,0.000943787
9,compute-0-3,0.000061893,+0.000110156,0.000637779
10,compute-0-0,0.000217233,+0.000314179,0.001702249
10,compute-0-1,0.000127476,-0.000271874,0.001309088
10,compute-0-2,0.000010080,-0.000010263,0.000943787
10,compute-0-3,0.000048436,+0.000110156,0.000637779
11,compute-0-0,0.000214623,+0.000314179,0.001702249
11,compute-0-1,0.000089437,-0.000271874,0.001309088
11,compute-0-2,0.000010042,-0.000010263,0.000943787
11,compute-0-3,0.000516606,+0.000577542,0.000632013
12,compute-0-0,0.000211743,+0.000314179,0.001702249
12,compute-0-1,0.000321677,+0.000423822,0.001249121
12,compute-0-2,0.000010008,-0.000010263,0.000943787
12,compute-0-3,0.000248265,+0.000577542,0.000632013
13,compute-0-0,0.000209178,+0.000314179,0.001702249
13,compute-0-1,0.000283562,+0.000423822,0.001249121
13,compute-0-2,0.000009974,-0.000010263,0.000943787
13,compute-0-3,0.000000244,+0.000577542,0.000632013
14,compute-0-0,0.000485575,-0.000280338,0.001617327
14,compute-0-1,0.000243268,+0.000423822,0.001249121
14,compute-0-2,0.000252932,-0.000245053,0.000898702
14,compute-0-3,0.000000244,+0.000577542,0.000632013
15,compute-0-0,0.000466905,-0.000280338,0.001617327
15,compute-0-1,0.000204722,+0.000423822,0.001249121
15,compute-0-2,0.000231348,-0.000245053,0.000898702
15,compute-0-3,0.000000244,+0.000577542,0.000632013
16,compute-0-0,0.000449030,-0.000280338,0.001617327
16,compute-0-1,0.000168740,+0.000423822,0.001249121
16,compute-0-2,0.000211204,-0.000245053,0.000898702
16,compute-0-3,0.000000244,+0.000577542,0.000632013
17,compute-0-0,0.000432326,-0.000280338,0.001617327
17,compute-0-1,0.000926305,+0.000905363,0.001219115
17,compute-0-2,0.000188469,-0.000245053,0.000898702
17,compute-0-3,0.000076293,+0.000081343,0.000600132
18,compute-0-0,0.000413496,-0.000280338,0.001617327
18,compute-0-1,0.000495051,+0.000905363,0.001219115
18,compute-0-2,0.000167740,-0.000245053,0.000898702
18,compute-0-3,0.000071211,+0.000081343,0.000600132
19,compute-0-0,0.000396318,-0.000280338,0.001617327
19,compute-0-1,0.000043304,+0.000905363,0.001219115
19,compute-0-2,0.000146008,-0.000245053,0.000898702
19,compute-0-3,0.000065883,+0.000081343,0.000600132
20,compute-0-0,0.001104926,-0.000794954,0.001554788
20,compute-0-1,0.000000040,+0.000905363,0.001219115
20,compute-0-2,0.000472964,-0.000404556,0.000862128
20,compute-0-3,0.000060677,+0.000081343,0.000600132
21,compute-0-0,0.000989101,-0.000794954,0.001554788
21,compute-0-1,0.000000040,+0.000905363,0.001219115
21,compute-0-2,0.000360686,-0.000404556,0.000862128
21,compute-0-3,0.000055344,+0.000081343,0.000600132
22,compute-0-0,0.000865381,-0.000794954,0.001554788
22,compute-0-1,0.000000040,+0.000905363,0.001219115
