sample_id,hostname,instant_offset_sec,last_offset_sec,jitter_sec
1,compute-0-0,0.000000008,+0.000000038,0.000000142
1,compute-0-1,0.000000194,+0.000000221,0.000001307
1,compute-0-2,0.000000446,+0.000000414,0.000000681
1,compute-0-3,0.000000801,+0.000000425,0.000001150
2,compute-0-0,0.000000030,+0.000000028,0.000000135
2,compute-0-1,0.000000473,+0.000000459,0.000001248
2,compute-0-2,0.000000126,-0.000000264,0.000000651
2,compute-0-3,0.000000527,+0.000000425,0.000001150
3,compute-0-0,0.000000027,-0.000000052,0.000000129
3,compute-0-1,0.000000479,+0.000000217,0.000001186
3,compute-0-2,0.000000521,-0.000000702,0.000000657
3,compute-0-3,0.000000642,+0.000000393,0.000001098
4,compute-0-0,0.000000021,-0.000000052,0.000000129
4,compute-0-1,0.000000268,+0.000000217,0.000001186
4,compute-0-2,0.000000357,-0.000000702,0.000000657
4,compute-0-3,0.000000897,+0.000000571,0.000001057
5,compute-0-0,0.000000050,-0.000000065,0.000000124
5,compute-0-1,0.000000233,+0.000000020,0.000001126
5,compute-0-2,0.000000301,+0.000000688,0.000000660
5,compute-0-3,0.000000513,+0.000000571,0.000001057
6,compute-0-0,0.000000067,-0.000000057,0.000000119
6,compute-0-1,0.000000215,+0.000000025,0.000001068
6,compute-0-2,0.000000281,+0.000000026,0.000000626
6,compute-0-3,0.000000698,-0.000001741,0.000001144
7,compute-0-0,0.000000030,-0.000000057,0.000000119
7,compute-0-1,0.000000207,+0.000000028,0.000001013
7,compute-0-2,0.000000242,+0.000000026,0.000000626
7,compute-0-3,0.000000947,-0.000000849,0.000001118
8,compute-0-0,0.000000050,-0.000000070,0.000000115
8,compute-0-1,0.000000178,+0.000000028,0.000001013
8,compute-0-2,0.000000627,+0.000000862,0.000000653
8,compute-0-3,0.000000258,+0.000000088,0.000001061
9,compute-0-0,0.000000104,-0.000000124,0.000000116
9,compute-0-1,0.000000057,-0.000000108,0.000000962
9,compute-0-2,0.000000928,+0.000000955,0.000000690
9,compute-0-3,0.000000232,+0.000000088,0.000001061
10,compute-0-0,0.000000545,-0.000000589,0.000000216
10,compute-0-1,0.000000067,+0.000000013,0.000000912
10,compute-0-2,0.000001770,-0.000001989,0.000000908
10,compute-0-3,0.000000217,+0.000000449,0.000001016
11,compute-0-0,0.000000000,-0.000000589,0.000000216
11,compute-0-1,0.000000064,+0.000000013,0.000000912
11,compute-0-2,0.000000341,-0.000001989,0.000000908
11,compute-0-3,0.000000451,+0.000000263,0.000000968
12,compute-0-0,0.000000002,+0.000002474,0.000000809
12,compute-0-1,0.000000103,+0.000000045,0.000000866
12,compute-0-2,0.000000134,+0.000000139,0.000000862
12,compute-0-3,0.000000369,+0.000000263,0.000000968
13,compute-0-0,0.000000134,-0.000000146,0.000000769
13,compute-0-1,0.000000495,+0.000000436,0.000000833
13,compute-0-2,0.000000157,+0.000000032,0.000000818
13,compute-0-3,0.000000686,+0.000000552,0.000000935
14,compute-0-0,0.000000010,-0.000000146,0.000000769
14,compute-0-1,0.000000310,+0.000000436,0.000000833
14,compute-0-2,0.000000146,+0.000000032,0.000000818
14,compute-0-3,0.000000877,+0.000000509,0.000000901
15,compute-0-0,0.000000027,+0.000000031,0.000000729
15,compute-0-1,0.000000455,+0.000000422,0.000000801
15,compute-0-2,0.000000402,+0.000000326,0.000000783
15,compute-0-3,0.000000527,+0.000000509,0.000000901
16,compute-0-0,0.000000033,+0.000000011,0.000000692
16,compute-0-1,0.000000469,+0.000000282,0.000000765
16,compute-0-2,0.000000426,+0.000000119,0.000000744
16,compute-0-3,0.000000511,+0.000000188,0.000000857
17,compute-0-0,0.000000027,+0.000000011,0.000000692
17,compute-0-1,0.000000285,+0.000000282,0.000000765
17,compute-0-2,0.000000334,+0.000000119,0.000000744
17,compute-0-3,0.000000464,+0.000000100,0.000000814
18,compute-0-0,0.000000044,+0.000000031,0.000000656
18,compute-0-1,0.000000002,-0.000000261,0.000000731
18,compute-0-2,0.000000491,+0.000000320,0.000000713
18,compute-0-3,0.000000360,+0.000000100,0.000000814
19,compute-0-0,0.000000108,-0.000000200,0.000000626
19,compute-0-1,0.000000376,+0.000000421,0.000000706
19,compute-0-2,0.000000703,+0.000000424,0.000000689
19,compute-0-3,0.000000621,-0.000001331,0.000000879
20,compute-0-0,0.000000000,-0.000000200,0.000000626
20,compute-0-1,0.000000261,+0.000000421,0.000000706
20,compute-0-2,0.000000425,+0.000000424,0.000000689
