sample_id,hostname,instant_offset_sec,last_offset_sec,jitter_sec
1,localhost,0.000058671,+0.000047815,0.002413681
1,compute-0-0,0.000048807,+0.000041458,0.000218002
1,compute-0-1,0.000058576,+0.000043293,0.000106437
1,compute-0-2,0.000000024,+0.000054140,0.000046670
1,compute-0-3,0.000010655,+0.000019458,0.000120234
104,localhost,0.000058433,+0.000047815,0.002413681
104,compute-0-0,0.000042577,+0.000041458,0.000218002
104,compute-0-1,0.000050609,+0.000043293,0.000106437
104,compute-0-2,0.000000024,+0.000054140,0.000046670
104,compute-0-3,0.000062727,+0.000054627,0.000115365
2,localhost,0.000058391,+0.000047815,0.002413681
2,compute-0-0,0.000041480,+0.000041458,0.000218002
2,compute-0-1,0.000049188,+0.000043293,0.000106437
2,compute-0-2,0.000000024,+0.000054140,0.000046670
2,compute-0-3,0.000058621,+0.000054627,0.000115365
105,localhost,0.000058153,+0.000047815,0.002413681
105,compute-0-0,0.000035261,+0.000041458,0.000218002
105,compute-0-1,0.000041227,+0.000043293,0.000106437
105,compute-0-2,0.000042144,+0.000056625,0.000047759
105,compute-0-3,0.000035582,+0.000054627,0.000115365
3,localhost,0.000058111,+0.000047815,0.002413681
3,compute-0-0,0.000110308,+0.000076528,0.000208226
3,compute-0-1,0.000039811,+0.000043293,0.000106437
3,compute-0-2,0.000035741,+0.000056625,0.000047759
3,compute-0-3,0.000031498,+0.000054627,0.000115365
106,localhost,0.000057873,+0.000047815,0.002413681
106,compute-0-0,0.000097031,+0.000076528,0.000208226
106,compute-0-1,0.000031839,+0.000043293,0.000106437
106,compute-0-2,0.000000036,+0.000056625,0.000047759
106,compute-0-3,0.000008418,+0.000054627,0.000115365
4,localhost,0.000057830,+0.000047815,0.002413681
4,compute-0-0,0.000094684,+0.000076528,0.000208226
4,compute-0-1,0.000030432,+0.000043293,0.000106437
4,compute-0-2,0.000000036,+0.000056625,0.000047759
4,compute-0-3,0.000004396,+0.000054627,0.000115365
107,localhost,0.000057592,+0.000047815,0.002413681
107,compute-0-0,0.000081389,+0.000076528,0.000208226
107,compute-0-1,0.000022447,+0.000043293,0.000106437
107,compute-0-2,0.000000036,+0.000056625,0.000047759
107,compute-0-3,0.000000005,+0.000054627,0.000115365
5,localhost,0.000057551,+0.000047815,0.002413681
5,compute-0-0,0.000079068,+0.000076528,0.000208226
5,compute-0-1,0.000021058,+0.000043293,0.000106437
5,compute-0-2,0.000000036,+0.000056625,0.000047759
5,compute-0-3,0.000000005,+0.000054627,0.000115365
108,localhost,0.000057312,+0.000047815,0.002413681
108,compute-0-0,0.000065771,+0.000076528,0.000208226
108,compute-0-1,0.000013074,+0.000043293,0.000106437
108,compute-0-2,0.000000036,+0.000056625,0.000047759
108,compute-0-3,0.000000005,+0.000054627,0.000115365
6,localhost,0.000057270,+0.000047815,0.002413681
6,compute-0-0,0.000063442,+0.000076528,0.000208226
6,compute-0-1,0.000011671,+0.000043293,0.000106437
6,compute-0-2,0.000000036,+0.000056625,0.000047759
6,compute-0-3,0.000000005,+0.000054627,0.000115365
109,localhost,0.000057032,+0.000047815,0.002413681
109,compute-0-0,0.000050144,+0.000076528,0.000208226
109,compute-0-1,0.000038883,+0.000033973,0.000101545
109,compute-0-2,0.000000036,+0.000056625,0.000047759
109,compute-0-3,0.000000005,+0.000054627,0.000115365
7,localhost,0.000056990,+0.000047815,0.002413681
7,compute-0-0,0.000047818,+0.000076528,0.000208226
7,compute-0-1,0.000038121,+0.000033973,0.000101545
7,compute-0-2,0.000000036,+0.000056625,0.000047759
7,compute-0-3,0.000000005,+0.000054627,0.000115365
110,localhost,0.000056752,+0.000047815,0.002413681
110,compute-0-0,0.000034527,+0.000076528,0.000208226
110,compute-0-1,0.000033764,+0.000033973,0.000101545
110,compute-0-2,0.000000036,+0.000056625,0.000047759
110,compute-0-3,0.000005710,+0.000005797,0.000109460
8,localhost,0.000056710,+0.000047815,0.002413681
8,compute-0-0,0.000032200,+0.000076528,0.000208226
8,compute-0-1,0.000033000,+0.000033973,0.000101545
8,compute-0-2,0.000000036,+0.000056625,0.000047759
8,compute-0-3,0.000005678,+0.000005797,0.000109460
111,localhost,0.000056471,+0.000047815,0.002413681
111,compute-0-0,0.000095218,+0.000087924,0.000199487
111,compute-0-1,0.000028637,+0.000033973,0.000101545
111,compute-0-2,0.000012014,+0.000012813,0.000045489
111,compute-0-3,0.000005496,+0.000005797,0.000109460
9,localhost,0.000056430,+0.000047815,0.002413681
9,compute-0-0,0.000085013,+0.000087924,0.000199487
9,compute-0-1,0.000027876,+0.000033973,0.000101545
9,compute-0-2,0.000011852,+0.000012813,0.000045489
9,compute-0-3,0.000005464,+0.000005797,0.000109460
112,localhost,0.000056191,+0.000047815,0.002413681
112,compute-0-0,0.000026608,+0.000087924,0.000199487
112,compute-0-1,0.000023516,+0.000033973,0.000101545
112,compute-0-2,0.000010922,+0.000012813,0.000045489
112,compute-0-3,0.000005281,+0.000005797,0.000109460
10,localhost,0.000056149,+0.000047815,0.002413681
10,compute-0-0,0.000016422,+0.000087924,0.000199487
10,compute-0-1,0.000022753,+0.000033973,0.000101545
10,compute-0-2,0.000010761,+0.000012813,0.000045489
10,compute-0-3,0.000005249,+0.000005797,0.000109460
113,localhost,0.000055910,+0.000047815,0.002413681
113,compute-0-0,0.000000017,+0.000087924,0.000199487
113,compute-0-1,0.000018377,+0.000033973,0.000101545
113,compute-0-2,0.000009827,+0.000012813,0.000045489
113,compute-0-3,0.000005066,+0.000005797,0.000109460
11,localhost,0.000055869,+0.000047815,0.002413681
11,compute-0-0,0.000000017,+0.000087924,0.000199487
11,compute-0-1,0.000017637,+0.000033973,0.000101545
11,compute-0-2,0.000009671,+0.000012813,0.000045489
11,compute-0-3,0.000005036,+0.000005797,0.000109460
114,localhost,0.000335852,+0.000282645,0.002291563
114,compute-0-0,0.000000017,+0.000087924,0.000199487
