sample_id,hostname,instant_offset_sec,last_offset_sec,jitter_sec
1,localhost,0.000000020,-0.000000010,0.000000026
1,compute-0-0,0.000000211,+0.000000198,0.000000227
1,compute-0-1,0.000000026,-0.000000104,0.000000530
1,compute-0-2,0.000000071,-0.000000004,0.000000133
1,compute-0-3,0.000000174,-0.000000159,0.000000287
2,localhost,0.000000097,-0.000000206,0.000000069
2,compute-0-0,0.000000028,+0.000000198,0.000000227
2,compute-0-1,0.000000077,-0.000000109,0.000000517
2,compute-0-2,0.000001195,-0.000001299,0.000000430
2,compute-0-3,0.000000000,-0.000000159,0.000000287
3,localhost,0.000000000,-0.000000206,0.000000069
3,compute-0-0,0.000000167,-0.000000487,0.000000265
3,compute-0-1,0.000000000,-0.000000109,0.000000517
3,compute-0-2,0.000000001,-0.000001299,0.000000430
3,compute-0-3,0.000000070,-0.000000087,0.000000273
4,localhost,0.000000000,-0.000000179,0.000000087
4,compute-0-0,0.000000000,-0.000000487,0.000000265
4,compute-0-1,0.000000274,-0.000000290,0.000000499
4,compute-0-2,0.000000001,+0.000001070,0.000000530
4,compute-0-3,0.000000077,+0.000000131,0.000000263
5,localhost,0.000000001,-0.000000571,0.000000198
5,compute-0-0,0.000000000,-0.000000487,0.000000265
5,compute-0-1,0.000000152,-0.000000290,0.000000499
5,compute-0-2,0.000000123,-0.000000128,0.000000504
5,compute-0-3,0.000000075,-0.000000193,0.000000256
6,localhost,0.000000157,+0.000000160,0.000000195
6,compute-0-0,0.000000195,-0.000000710,0.000000337
6,compute-0-1,0.000000404,-0.000000355,0.000000479
6,compute-0-2,0.000000094,-0.000000128,0.000000504
6,compute-0-3,0.000000000,-0.000000193,0.000000256
7,localhost,0.000000006,+0.000000160,0.000000195
7,compute-0-0,0.000000000,-0.000000710,0.000000337
7,compute-0-1,0.000000000,-0.000000355,0.000000479
7,compute-0-2,0.000000143,-0.000000092,0.000000479
7,compute-0-3,0.000000040,-0.000000041,0.000000244
8,localhost,0.000000063,-0.000000166,0.000000192
8,compute-0-0,0.000001479,+0.000001606,0.000000600
8,compute-0-1,0.000000025,+0.000000026,0.000000454
8,compute-0-2,0.000000064,+0.000000181,0.000000458
8,compute-0-3,0.000000038,-0.000000041,0.000000244
9,localhost,0.000000042,-0.000000045,0.000000183
9,compute-0-0,0.000000121,+0.000001606,0.000000600
9,compute-0-1,0.000000052,+0.000000031,0.000000431
9,compute-0-2,0.000000054,+0.000000181,0.000000458
9,compute-0-3,0.000000231,-0.000000939,0.000000376
10,localhost,0.000000026,-0.000000045,0.000000183
10,compute-0-0,0.000000061,+0.000000936,0.000000642
10,compute-0-1,0.000000043,+0.000000031,0.000000431
10,compute-0-2,0.000000038,-0.000000013,0.000000435
10,compute-0-3,0.000000446,-0.000000692,0.000000419
11,localhost,0.000000006,+0.000000016,0.000000174
11,compute-0-0,0.000000107,+0.000000113,0.000000610
11,compute-0-1,0.000001069,-0.000001182,0.000000554
11,compute-0-2,0.000000194,+0.000000340,0.000000426
11,compute-0-3,0.000000283,-0.000000298,0.000000542
12,localhost,0.000000007,+0.000000012,0.000000165
12,compute-0-0,0.000000084,+0.000000113,0.000000610
12,compute-0-1,0.000000035,-0.000000040,0.000000526
12,compute-0-2,0.000000000,+0.000000340,0.000000426
12,compute-0-3,0.000000031,-0.000000298,0.000000542
13,localhost,0.000000006,+0.000000012,0.000000165
13,compute-0-0,0.000000041,+0.000000274,0.000000585
13,compute-0-1,0.000000040,-0.000000098,0.000000500
13,compute-0-2,0.000000000,+0.000000340,0.000000426
13,compute-0-3,0.000000000,-0.000000298,0.000000542
14,localhost,0.000000013,-0.000000021,0.000000156
14,compute-0-0,0.000000153,-0.000000196,0.000000558
14,compute-0-1,0.000000012,-0.000000069,0.000000475
14,compute-0-2,0.000000004,-0.000000004,0.000000404
14,compute-0-3,0.000000258,-0.000003468,0.000001211
15,localhost,0.000000051,-0.000000070,0.000000150
15,compute-0-0,0.000000041,-0.000000196,0.000000558
15,compute-0-1,0.000000000,-0.000000069,0.000000475
15,compute-0-2,0.000000011,-0.000000007,0.000000384
15,compute-0-3,0.000000103,-0.000000293,0.000001153
16,localhost,0.000000024,-0.000000024,0.000000142
16,compute-0-0,0.000000075,-0.000000075,0.000000530
16,compute-0-1,0.000000000,-0.000000069,0.000000475
16,compute-0-2,0.000000011,-0.000000007,0.000000384
16,compute-0-3,0.000000000,-0.000000293,0.000001153
17,localhost,0.000000018,-0.000000024,0.000000142
17,compute-0-0,0.000000000,-0.000000273,0.000000510
17,compute-0-1,0.000000397,-0.000000615,0.000000490
17,compute-0-2,0.000000021,-0.000000012,0.000000364
17,compute-0-3,0.000000387,-0.000000510,0.000001105
18,localhost,0.000000057,-0.000000116,0.000000140
18,compute-0-0,0.000000000,-0.000000273,0.000000510
18,compute-0-1,0.000000000,-0.000000615,0.000000490
18,compute-0-2,0.000000200,-0.000000275,0.000000356
18,compute-0-3,0.000000037,-0.000000510,0.000001105
19,localhost,0.000000000,-0.000000223,0.000000151
19,compute-0-0,0.000000000,-0.000000273,0.000000510
19,compute-0-1,0.000000056,-0.000000086,0.000000466
19,compute-0-2,0.000000000,-0.000000275,0.000000356
19,compute-0-3,0.000002429,-0.000004283,0.000001713
20,localhost,0.000000000,-0.000000223,0.000000151
20,compute-0-0,0.000000011,-0.000000012,0.000000484
20,compute-0-1,0.000000001,-0.000000676,0.000000491
20,compute-0-2,0.000000000,-0.000000275,0.000000356
20,compute-0-3,0.000000002,-0.000004283,0.000001713
21,localhost,0.000000014,-0.000000021,0.000000143
21,compute-0-0,0.000000077,-0.000000085,0.000000460
21,compute-0-1,0.000000157,-0.000000163,0.000000469
21,compute-0-2,0.000000010,-0.000000010,0.000000338
21,compute-0-3,0.000000001,-0.000001281,0.000001675
22,localhost,0.000000019,-0.000000061,0.000000137
22,compute-0-0,0.000000008,-0.000000085,0.000000460
22,compute-0-1,0.000000080,-0.000000163,0.000000469
22,compute-0-2,0.000000010,-0.000000010,0.000000338
22,compute-0-3,0.000000001,-0.000001281,0.000001675
23,localhost,0.000000000,-0.000000061,0.000000137
23,compute-0-0,0.000000000,-0.000000085,0.000000460
23,compute-0-1,0.000000003,-0.000000163,0.000000469
23,compute-0-2,0.000000010,-0.000000010,0.000000338
23,compute-0-3,0.000000571,-0.000002666,0.000001799
24,localhost,0.000000000,-0.000000173,0.000000141
24,compute-0-0,0.000000048,+0.000000058,0.000000437
24,compute-0-1,0.000000080,-0.000000081,0.000000445
24,compute-0-2,0.000000263,-0.000000381,0.000000342
24,compute-0-3,0.000000001,-0.000000812,0.000001676
25,localhost,0.000000039,-0.000000044,0.000000134
25,compute-0-0,0.000000024,+0.000000058,0.000000437
25,compute-0-1,0.000000073,-0.000000081,0.000000445
25,compute-0-2,0.000000001,-0.000000638,0.000000382
25,compute-0-3,0.000000027,-0.000000031,0.000001590
26,localhost,0.000000032,-0.000000001,0.000000128
26,compute-0-0,0.000000001,+0.000000058,0.000000437
26,compute-0-1,0.000000001,-0.000000926,0.000000514
26,compute-0-2,0.000000001,-0.000000638,0.000000382
26,compute-0-3,0.000000416,-0.000001493,0.000001580
27,localhost,0.000000029,-0.000000001,0.000000128
27,compute-0-0,0.000001214,-0.000001319,0.000000588
27,compute-0-1,0.000000001,-0.000000926,0.000000514
27,compute-0-2,0.000000012,+0.000000011,0.000000363
27,compute-0-3,0.000000073,-0.000000108,0.000001500
28,localhost,0.000000029,+0.000000059,0.000000122
28,compute-0-0,0.000005120,-0.000004549,0.000001543
28,compute-0-1,0.000000178,+0.000000577,0.000000521
28,compute-0-2,0.000000011,+0.000000011,0.000000363
28,compute-0-3,0.000000052,-0.000000178,0.000001424
29,localhost,0.000000073,+0.000000051,0.000000117
29,compute-0-0,0.000001700,-0.000004549,0.000001543
29,compute-0-1,0.000000000,+0.000000577,0.000000521
